6.7;784.168;37.8;23.09;15.43;96;-4.1;-5.06;3;180;-4.69;21.28;22.45;15.64
9.7;1135.288;32.4;22.45;15.64;96;-4.13;-5.09;3;180;-4.78;22.71;22.3;15.64
14.1;1650.264;31;22.3;15.64;96;-4.17;-5.13;3;180;-4.69;22.55;21.55;16.09
6.1;713.944;33.9;21.55;16.09;96;-4.2;-5.16;3;180;-4.96;22.34;23.26;15.87
12;1404.48;31.2;23.26;15.87;96;-4.23;-5.19;3;180;-5.03;22.4;22.49;15.73
5;585.2;37.3;22.49;15.73;96;-4.27;-5.23;3;180;-4.82;21.51;22.41;15.35
14.2;1661.968;35.4;22.41;15.35;96;-4.3;-5.26;3;180;-5.18;21.49;22.64;15.36
9.4;1100.176;37;22.64;15.36;95.89;-4.36;-5.32;3.06;225;-4.84;21.85;22.25;15.93
5.5;643.72;31.8;22.25;15.93;95.78;-4.41;-5.37;3.11;225;-5.11;22.28;22.14;16.65
13.8;1615.152;34.8;22.14;16.65;95.67;-4.47;-5.43;3.17;225;-5;22.44;22.71;16.03
7.4;866.096;35.8;22.71;16.03;95.56;-4.52;-5.48;3.22;225;-5.37;21.31;21.33;15.62
5.7;667.128;36.6;21.33;15.62;95.44;-4.58;-5.53;3.28;225;-5.11;21.67;22.69;16.29
12.8;1498.112;28.7;22.69;16.29;95.33;-4.63;-5.58;3.33;225;-5.33;23.62;21.91;15.65
5.4;632.016;38.4;21.91;15.65;95.22;-4.69;-5.64;3.39;225;-5.46;21.51;22.75;16.22
10.5;1228.92;36.7;22.75;16.22;95.11;-4.74;-5.69;3.44;225;-5.37;21.25;22.31;15.87
11.9;1392.776;36.6;22.31;15.87;95;-4.8;-5.75;3.5;225;-5.59;21.34;21.89;16.79
14.3;1673.672;30;21.89;16.79;94.89;-4.86;-5.81;3.55;225;-5.59;22.63;22.25;16.25
11.6;1357.664;29.3;22.25;16.25;94.78;-4.91;-5.86;3.61;225;-5.57;23.56;21.37;15.94
11.2;1310.848;32.1;21.37;15.94;94.67;-4.97;-5.92;3.66;225;-5.43;22.17;20.99;15.71
13.6;1591.744;30.2;20.99;15.71;94.56;-5.02;-5.97;3.72;225;-5.63;22.34;22.63;16.18
9.3;1088.472;35.6;22.63;16.18;94.44;-5.08;-6.02;3.77;225;-5.74;21.6;22.55;15.54
5.6;655.424;37.7;22.55;15.54;94.33;-5.13;-6.07;3.83;225;-5.76;21.55;22.41;16.41
9.6;1123.584;32.1;22.41;16.41;94.22;-5.19;-6.13;3.88;225;-5.71;22.63;21.74;15.63
14.5;1697.08;31.8;21.74;15.63;94.11;-5.24;-6.18;3.94;225;-5.95;22.68;20.87;16.38
4.4;514.976;33.4;20.87;16.38;94;-5.3;-6.24;4;225;-6;22.26;21.69;16.59
11.8;1381.072;34.6;21.69;16.59;93.17;-5.3;-6.23;3.94;180;-6.14;22.46;21.24;17.01
5.1;596.904;37.8;21.24;17.01;92.33;-5.3;-6.22;3.89;180;-6.28;21.4;20.97;16.53
6.1;713.944;29.9;20.97;16.53;91.5;-5.3;-6.22;3.83;180;-6.08;23.59;21.83;16.95
13.6;1591.744;37.5;21.83;16.95;90.67;-5.3;-6.21;3.78;180;-6.11;21.41;21.6;16.66
9;1053.36;28.8;21.6;16.66;89.83;-5.3;-6.2;3.72;180;-6.4;23.72;22.28;16.76
4.8;561.792;31.8;22.28;16.76;89;-5.3;-6.19;3.67;180;-6.25;22.61;22.21;17
5.4;632.016;31.1;22.21;17;88.17;-5.3;-6.18;3.61;180;-6.43;22.29;22.23;17.46
8.4;983.136;35.5;22.23;17.46;87.33;-5.3;-6.17;3.56;180;-6.47;21.3;22.21;16.5
11.6;1357.664;35.7;22.21;16.5;86.5;-5.3;-6.17;3.5;180;-6.32;21.63;22.18;16.67
4.5;526.68;29.6;22.18;16.67;85.67;-5.3;-6.16;3.45;180;-6.53;23.47;22.56;17.93
11;1287.44;35.5;22.56;17.93;84.83;-5.3;-6.15;3.39;180;-6.54;21.91;21.51;16.94
7.9;924.616;28;21.51;16.94;84;-5.3;-6.14;3.33;180;-6.81;23.64;22.58;16.87
4.4;514.976;36.4;22.58;16.87;83.17;-5.3;-6.13;3.28;180;-6.89;21.22;22.65;17.98
6.1;713.944;31.9;22.65;17.98;82.33;-5.3;-6.12;3.22;180;-6.77;22.53;21.43;18.14
43.5;5091.24;49.8;21.43;18.14;81.5;-5.3;-6.12;3.17;180;-6.82;19.16;23.1;18.04
24.7;2890.888;43.1;23.1;18.04;80.67;-5.3;-6.11;3.11;180;-7.1;20.83;22.48;17.62
26.5;3101.56;54.3;22.48;17.62;79.83;-5.3;-6.1;3.06;180;-7.08;18.68;22.35;17.27
42.1;4927.384;45.5;22.35;17.27;79;-5.3;-6.09;3;180;-7.25;19.19;23.19;19.15
23.1;2703.624;57.5;23.19;19.15;78.06;-5.19;-5.97;3.06;180;-6.89;17.5;23.04;17.4
33.4;3909.136;43.6;23.04;17.4;77.11;-5.08;-5.85;3.11;180;-6.98;20.61;21.64;17.9
32.5;3803.8;58.6;21.64;17.9;76.17;-4.97;-5.73;3.17;180;-6.77;17.28;22.87;18.87
46.2;5407.248;46.4;22.87;18.87;75.22;-4.86;-5.61;3.22;180;-6.57;19.34;23.34;18.1
16.6;1942.864;60.4;23.34;18.1;74.28;-4.74;-5.48;3.28;180;-6.93;16.42;21.99;17.79
33.7;3944.248;49.1;21.99;17.79;73.33;-4.63;-5.36;3.33;180;-6.86;19.36;21.9;17.3
36;4213.44;56.9;21.9;17.3;72.39;-4.52;-5.24;3.39;180;-6.76;17.64;22.54;18.5
45.9;5372.136;61.6;22.54;18.5;71.44;-4.41;-5.12;3.44;180;-6.54;16.41;22.18;18.17
48.9;5723.256;46;22.18;18.17;70.5;-4.3;-5.01;3.5;180;-6.3;19.78;22.04;17.71
33.5;3920.84;62.1;22.04;17.71;69.56;-4.19;-4.89;3.56;180;-6.22;16.35;23.91;18.04
42.9;5021.016;55.8;23.91;18.04;68.61;-4.08;-4.77;3.61;180;-6.14;17.33;23.34;17.2
15.7;1837.528;60.1;23.34;17.2;67.67;-3.97;-4.65;3.67;180;-6.38;16.37;22.14;18.04
43.2;5056.128;48;22.14;18.04;66.72;-3.86;-4.53;3.72;180;-6.24;19.57;21.99;17.92
38.5;4506.04;53.6;21.99;17.92;65.78;-3.74;-4.4;3.78;180;-6.26;18.27;23.33;17.18
28.9;3382.456;40.2;23.33;17.18;64.83;-3.63;-4.28;3.83;180;-5.9;20.5;22.73;17.5
28;3277.12;53.2;22.73;17.5;63.89;-3.52;-4.16;3.89;180;-5.99;18.65;23.99;18.33
24.4;2855.776;60.7;23.99;18.33;62.95;-3.41;-4.04;3.94;180;-6.08;16.75;24.07;17.02
33.7;3944.248;60.6;24.07;17.02;62;-3.3;-3.92;4;180;-5.73;16.37;22.55;18.12
22.9;2680.216;44.2;22.55;18.12;62.78;-3.24;-3.87;3.89;180;-5.52;20.26;22.78;17.52
24.2;2832.368;48.7;22.78;17.52;63.56;-3.19;-3.83;3.78;180;-5.69;19.79;22.99;16.81
26.9;3148.376;57.6;22.99;16.81;64.33;-3.13;-3.77;3.67;180;-5.28;17.4;22.95;17.05
40.8;4775.232;54.6;22.95;17.05;65.11;-3.08;-3.73;3.56;180;-5.06;18.72;24.22;17.11
32.2;3768.688;61.2;24.22;17.11;65.89;-3.02;-3.68;3.44;180;-5.14;16.78;24.23;16.33
35.4;4143.216;45.3;24.23;16.33;66.67;-2.97;-3.64;3.33;180;-5.15;19.47;23.52;16.17
44.8;5243.392;61.7;23.52;16.17;67.44;-2.91;-3.58;3.22;180;-4.81;16.55;24.47;15.74
25.5;2984.52;62.7;24.47;15.74;68.22;-2.86;-3.54;3.11;180;-4.71;16.45;23.7;16.51
25.5;2984.52;59.5;23.7;16.51;69;-2.8;-3.49;3;180;-4.47;17.69;23.89;16.03
17.7;2071.608;42.2;23.89;16.03;69.78;-2.75;-3.45;2.89;180;-4.69;20.27;23.88;15.9
25.5;2984.52;50.4;23.88;15.9;70.55;-2.69;-3.4;2.78;180;-4.42;18.56;22.69;16.14
25.4;2972.816;42.9;22.69;16.14;71.33;-2.63;-3.34;2.67;180;-4.47;20.28;22.34;16.29
47.3;5535.992;42.4;22.34;16.29;72.11;-2.58;-3.3;2.56;180;-4.01;20.53;23.41;15.8
50.1;5863.704;55.2;23.41;15.8;72.89;-2.52;-3.25;2.44;180;-3.86;17.58;23.84;17.03
28.5;3335.64;43.9;23.84;17.03;73.67;-2.47;-3.21;2.33;180;-3.95;20.32;23.95;16.62
23.1;2703.624;52.8;23.95;16.62;74.44;-2.41;-3.15;2.22;180;-3.82;18.59;24.46;16.16
30.1;3522.904;48.1;24.46;16.16;75.22;-2.36;-3.11;2.11;180;-3.85;19.31;23.72;16.06
16.4;1919.456;55.3;23.72;16.06;76;-2.3;-3.06;2;180;-3.81;17.61;24.62;15.72
47.8;5594.512;44;24.62;15.72;75.56;-2.39;-3.15;1.94;180;-3.95;20.59;23.48;15.6
40.3;4716.712;50.2;23.48;15.6;75.11;-2.48;-3.23;1.89;180;-3.71;18.43;23.41;16.19
40.6;4751.824;57.8;23.41;16.19;74.67;-2.57;-3.32;1.83;180;-3.79;17.66;23.63;16.2
49.9;5840.296;55.1;23.63;16.2;74.22;-2.66;-3.4;1.78;180;-4.05;17.48;23.03;16.39
38.8;4541.152;56.6;23.03;16.39;73.78;-2.74;-3.48;1.72;180;-4.11;17.54;23.54;15.98
25.5;2984.52;62.3;23.54;15.98;73.33;-2.83;-3.56;1.67;180;-4.17;16.7;24.74;15.58
28.2;3300.528;45.9;24.74;15.58;72.89;-2.92;-3.65;1.61;180;-4.47;19.91;22.55;15.84
40.6;4751.824;55.8;22.55;15.84;72.44;-3.01;-3.73;1.56;180;-4.76;17.57;23.13;16.54
42.3;4950.792;41.8;23.13;16.54;72;-3.1;-3.82;1.5;180;-4.58;20.66;22.83;16.72
25.7;3007.928;59.3;22.83;16.72;71.56;-3.19;-3.91;1.45;180;-4.76;17.57;23.33;16.7
50.3;5887.112;53.1;23.33;16.7;71.11;-3.28;-3.99;1.39;180;-5.07;18.48;23.14;15.73
